date,CIN,name,petrol,diesel,gas,electro,hybrid,plugInHybrid,others
01.01.2022,01001,"Flensburg, kreisfreie Stadt",26809.0,16230,262,741,903,526,17
01.01.2022,01002,"Kiel, kreisfreie Stadt",71089.0,35234,713,1542,2324,1232,20
01.01.2022,01003,"Lübeck, kreisfreie Stadt",66824.0,30127,800,1171,2068,1168,9
01.01.2022,01004,"Neumünster, kreisfreie Stadt",26943.0,14163,317,694,857,453,8
01.01.2022,01051,"Dithmarschen, Landkreis",48386.0,32319,518,994,1092,433,21
01.01.2022,01053,"Herzogtum Lauenburg, Landkreis",75300.0,40192,1035,1574,1973,1088,19
01.01.2022,01054,"Nordfriesland, Landkreis",60707.0,41099,600,2119,1446,873,72
01.01.2022,01055,"Ostholstein, Landkreis",84081.0,41358,901,1503,1982,1083,20
01.01.2022,01056,"Pinneberg, Landkreis",118948.0,52023,1143,2568,4205,2023,37
01.01.2022,01057,"Plön, Landkreis",51167.0,27522,425,1150,1210,593,13
01.01.2022,01058,"Rendsburg-Eckernförde, Landkreis",103277.0,66761,1171,2613,3046,1304,19
01.01.2022,01059,"Schleswig-Flensburg, Landkreis",71551.0,55315,922,1955,1692,818,31
01.01.2022,01060,"Segeberg, Landkreis",107303.0,56015,1189,2473,3605,1872,27
01.01.2022,01061,"Steinburg, Landkreis",50495.0,29477,601,977,1143,510,16
01.01.2022,01062,"Stormarn, Landkreis",98523.0,48633,1004,2378,3371,2013,30
01.01.2022,02000,"Hamburg, kreisfreie Stadt",516798.0,239503,5130,13078,24706,14481,151
01.01.2022,03101,"Braunschweig, kreisfreie Stadt",87265.0,46043,1216,4823,3486,2268,28
01.01.2022,03102,"Salzgitter, kreisfreie Stadt",36368.0,18049,652,478,794,370,5
01.01.2022,03103,"Wolfsburg, kreisfreie Stadt",73603.0,37292,506,7112,3077,4848,6
01.01.2022,03151,"Gifhorn, Landkreis",65373.0,40073,906,1748,1413,820,12
01.01.2022,03153,"Goslar, Landkreis",52390.0,25163,694,763,1449,611,12
01.01.2022,03154,"Helmstedt, Landkreis",35386.0,19054,522,769,653,457,7
01.01.2022,03155,"Northeim, Landkreis",57521.0,27912,730,1028,1327,671,25
01.01.2022,03157,"Peine, Landkreis",56098.0,26676,985,1088,968,691,10
01.01.2022,03158,"Wolfenbüttel, Landkreis",49507.0,23218,765,1052,1065,548,13
01.01.2022,03159,"Göttingen, Landkreis",119822.0,57248,1550,2168,3474,1680,26
01.01.2022,03241,"Region Hannover, Landkreis",388218.0,173820,5664,7773,12734,6988,136
01.01.2022,03251,"Diepholz, Landkreis",90187.0,47231,1357,1670,2588,1276,32
01.01.2022,03252,"Hameln-Pyrmont, Landkreis",62915.0,26815,858,1038,1472,728,18
01.01.2022,03254,"Hildesheim, Landkreis",108880.0,47286,1389,1772,2688,1430,29
01.01.2022,03255,"Holzminden, Landkreis",30103.0,13622,475,407,541,357,9
01.01.2022,03256,"Nienburg (Weser), Landkreis",48196.0,27001,955,934,1440,558,15
01.01.2022,03257,"Schaumburg, Landkreis",68707.0,29961,1106,1368,1794,767,19
01.01.2022,03351,"Celle, Landkreis",69315.0,37754,979,1176,1673,988,24
01.01.2022,03352,"Cuxhaven, Landkreis",78789.0,44077,1451,1076,2134,793,28
01.01.2022,03353,"Harburg, Landkreis",104374.0,56692,1376,2346,3752,1757,42
01.01.2022,03354,"Lüchow-Dannenberg, Landkreis",17984.0,12060,620,317,310,222,2
01.01.2022,03355,"Lüneburg, Landkreis",65326.0,36177,860,1491,1748,1176,15
01.01.2022,03356,"Osterholz, Landkreis",47767.0,23323,876,891,938,641,16
01.01.2022,03357,"Rotenburg (Wümme), Landkreis",63270.0,47228,1120,1298,1935,926,18
01.01.2022,03358,Heidekreis,53600.0,32913,960,849,1162,688,14
01.01.2022,03359,"Stade, Landkreis",79639.0,42478,962,1441,2443,1150,20
01.01.2022,03360,"Uelzen, Landkreis",36509.0,19120,394,649,688,594,8
01.01.2022,03361,"Verden, Landkreis",54921.0,29307,831,1007,1408,810,14
01.01.2022,03401,"Delmenhorst, kreisfreie Stadt",28648.0,11997,507,360,1066,429,11
